商品评论,情感分析结果,评价倾向
0,0.034482758620689724,不喜欢
是正品，一直用这个牌效果很好还那股淡的清香味去细纹黑眼圈,0.9966854232655022,喜欢
雅诗兰黛明星产品，现在比老款簿很细腻抗蓝光保水润已用。质地轻盈迅速渗透直达肌底有一丝凉感觉爱了买眼部精华液和霜要坚持才效果?是正,0.999978112951352,喜欢
一直使用此品牌的眼霜，抗皱效果很好吸收快这次优惠力度大真是物美价廉非常满意！,0.9716982748000641,喜欢
这是买过最实惠的一款眼霜了，性价比极高简直不要太完美特别适合袋部暗沉女生用起来非常好以前在京东自营店从后发现毫无区杠滴谁知道啊,0.5089380046470433,一般
一直听别人说这个眼霜好用，次终于下单了包装很精致小巧可爱相信不会错的东西心情,0.975111622168081,喜欢
这是我买过有史以来最划算的一次雅诗兰黛眼霜 里81七夕还活动真超款面没添加香精酒成分很喜欢太棒了为假么便宜结果外都验放在水也直浮起沉底相信京东后会回购用段时间再追效?,0.9998846175247709,喜欢
一直青睐于雅诗兰黛的这款防蓝光眼霜，用了好几年对止周细纹很有效果吸收充分睛围皱女人来说重要哦。,0.9996934960030277,喜欢
雅诗兰黛眼霜，真的超级好用没使之前角处经常很干因为工作性质原熬夜上班袋重自从了这款已改善许多也不那么每天早晚手轻涂抹薄一层就还有抗蓝光对于我们种三十以人群。非适合哈&helip;,0.3548242435037653,不喜欢
验过了正品，集美们放心入吧。刚开始看价格比旗舰店便宜一大半真的挺怕是假不收到货特意找人鉴定下用完还会回购,0.015107625561983973,不喜欢
这款就不用说了，很多人过出名眼霜短期之内是看来什么效果的但涂抹上保湿适合各种肤质群对比别家价格也便宜吸收速度快我喜欢一。,0.9996023941318842,喜欢
一直在用雅诗兰黛的眼霜，抹上少许就有很舒服感觉不油腻易涂开使效果也是比较好淡化细纹黑圈这个经常更收到试了下味道和专卖店几乎无差否样还得多京东铺靠谱。,0.15018547163471851,不喜欢
包装很好，试用了一次感觉不错质地细腻温润保湿效果。价格也实惠跟去免税店买差多非常,0.9994108267851328,喜欢
用了几天才来评价的，很好保湿效果以前经常要熬夜都有点黑眼圈感觉镜亮多推开非划算格到手,0.7785612587163311,喜欢
京东商城618做活动时买的，一下了两瓶眼霜可以用很长间效果好应该是正品还没和之前样。,0.5416545816420639,一般
每天早晚都坚持在用它，感觉挺好的至少我这个年龄还没有眼袋已经很了！朋友推荐买,0.8405879433142088,喜欢
回购第二次啦，使用效果挺好的滋润不油腻很吸收刺激皮肤淡化干纹非常错,0.5638870041205335,一般
一次很好的购物体验，服务周到流快速配送也态度有所值啊果断评！?大品牌得信赖效超级贵道理棒商眼霜细腻吸收。,0.9999966468877541,喜欢
宝贝收到了，很惊喜质量非常好满意的一次购物。我会继续回店家值得信赖各种对比是正品,0.9999922462553588,喜欢
应该是正品，价格很划算刚开始用期待效果。物流挺快的,0.9987203098740256,喜欢
